Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 74832 56467.463393 r 15.113 0.010 
 74832 56467.463847 r 15.135 0.010 
 74832 56724.814885 r 14.638 0.010 
 74832 56724.815323 r 14.642 0.010 
 74832 56724.837694 r 14.724 0.010 
 74832 56724.838133 r 14.725 0.011 
 74832 56724.858302 r 14.805 0.010 
 74832 56724.858738 r 14.801 0.010 
 74832 56724.881196 r 14.862 0.010 
 74832 56724.881636 r 14.859 0.010 
 74832 56725.824447 r 15.109 0.010 
 74832 56725.824889 r 15.102 0.010 
 74832 56725.844726 r 14.537 0.010 
 74832 56725.845162 r 14.531 0.011 
 74832 56725.875055 r 14.474 0.010 
 74832 56725.875495 r 14.465 0.010 
 74832 56726.810271 r 15.251 0.010 
 74832 56726.810697 r 15.253 0.010 
 74832 56726.819387 r 15.279 0.011 
 74832 56726.819819 r 15.269 0.011 
 74832 56726.839819 r 15.302 0.010 
 74832 56726.840245 r 15.304 0.010 
 74832 56726.859958 r 15.350 0.010 
 74832 56726.860383 r 15.345 0.010 
 74832 56726.880322 r 15.359 0.010 
 74832 56726.880764 r 15.352 0.010 
 74832 56726.900425 r 15.258 0.010 
 74832 56726.900873 r 15.265 0.010 
 74832 56451.719126 i 14.957 0.011 
 74832 56451.719677 i 14.951 0.012 
 74832 56452.497345 i 15.032 0.011 
 74832 56452.497785 i 15.041 0.011 
 74832 56452.611183 i 15.167 0.012 
 74832 56452.611621 i 15.149 0.010 
 74832 56452.699593 i 15.198 0.011 
 74832 56452.700079 i 15.194 0.011 
 74832 56452.752902 i 15.298 0.011 
 74832 56452.753449 i 15.302 0.011 
 74832 56453.466139 i 14.824 0.014 
 74832 56453.466599 i 14.868 0.012 
 74832 56453.473140 i 14.969 0.020 
 74832 56453.478647 i 15.149 0.011 
 74832 56453.568639 i 14.983 0.010 
 74832 56453.569078 i 15.018 0.010 
 74832 56453.576087 i 15.007 0.011 
 74832 56453.576522 i 14.998 0.010 
 74832 56453.679063 i 15.160 0.012 
 74832 56453.679504 i 15.164 0.010 
 74832 56453.749491 i 15.214 0.013 
 74832 56465.456542 i 14.915 0.011 
 74832 56465.464214 i 14.921 0.012 
 74832 56465.464655 i 14.923 0.011 
 74832 56467.464288 i 15.120 0.010 
 74832 56467.464715 i 15.116 0.010 
 74832 56724.815764 i 14.730 0.010 
 74832 56724.816199 i 14.721 0.010 
 74832 56724.859179 i 14.827 0.010 
 74832 56724.859614 i 14.850 0.010 
 74832 56724.882066 i 14.871 0.010 
 74832 56724.882496 i 14.876 0.011 
 74832 56725.825782 i 15.078 0.013 
 74832 56726.811144 i 15.203 0.010 
 74832 56726.811663 i 15.214 0.011 
 74832 56726.820248 i 15.236 0.011 
 74832 56726.820689 i 15.220 0.012 
 74832 56726.840680 i 15.255 0.010 
 74832 56726.841117 i 15.256 0.010 
 74832 56726.860818 i 15.295 0.010 
 74832 56726.861259 i 15.291 0.011 
 74832 56726.881188 i 15.304 0.011 
 74832 56726.881629 i 15.322 0.010 
 74832 56451.720223 z 14.962 0.011 
 74832 56451.720708 z 14.959 0.012 
 74832 56452.498233 z 14.975 0.013 
 74832 56452.498661 z 14.999 0.010 
 74832 56452.612057 z 15.108 0.011 
 74832 56452.612487 z 15.132 0.011 
 74832 56452.700608 z 15.169 0.011 
 74832 56452.701148 z 15.163 0.010 
 74832 56452.753959 z 15.272 0.011 
 74832 56452.754501 z 15.301 0.010 
 74832 56453.467450 z 14.794 0.015 
 74832 56453.479073 z 14.845 0.011 
 74832 56453.479532 z 14.742 0.011 
 74832 56453.569520 z 14.934 0.011 
 74832 56453.569950 z 14.960 0.010 
 74832 56453.576983 z 14.970 0.014 
 74832 56453.577412 z 14.992 0.013 
 74832 56453.679926 z 15.173 0.015 
 74832 56453.680353 z 15.120 0.011 
 74832 56453.750520 z 15.229 0.016 
 74832 56453.751075 z 15.103 0.012 
 74832 56465.457415 z 14.895 0.011 
 74832 56465.465093 z 14.916 0.011 
 74832 56465.465539 z 14.911 0.012 
 74832 56467.465179 z 15.111 0.011 
 74832 56467.465622 z 15.110 0.011 
 74832 56724.816635 z 14.725 0.010 
 74832 56724.817063 z 14.703 0.010 
 74832 56724.839453 z 14.768 0.010 
 74832 56724.839896 z 14.768 0.011 
 74832 56724.860045 z 14.831 0.010 
 74832 56724.860476 z 14.815 0.010 
 74832 56724.882934 z 14.848 0.011 
 74832 56724.883370 z 14.841 0.010 
 74832 56725.826223 z 15.060 0.011 
 74832 56725.826647 z 15.059 0.010 
 74832 56725.846455 z 14.649 0.010 
 74832 56725.846892 z 14.635 0.012 
 74832 56725.876824 z 14.598 0.011 
 74832 56725.877247 z 14.599 0.011 
 74832 56726.812106 z 15.180 0.012 
 74832 56726.812548 z 15.179 0.011 
 74832 56726.821137 z 15.189 0.011 
 74832 56726.821562 z 15.181 0.011 
 74832 56726.841542 z 15.224 0.012 
 74832 56726.841984 z 15.224 0.011 
 74832 56726.861683 z 15.260 0.011 
 74832 56726.862115 z 15.255 0.011 
 74832 56726.882066 z 15.275 0.013 
 74832 56726.882514 z 15.274 0.010 
 74832 56726.902182 z 15.200 0.011 
 74832 56726.902619 z 15.207 0.011 
 74835 56451.722332 u 16.185 0.011 
 74835 56451.723139 u 16.216 0.011 
 74835 56452.500658 u 15.445 0.011 
 74835 56452.613786 u 16.086 0.011 
 74835 56452.614566 u 16.093 0.011 
 74835 56452.702727 u 16.231 0.012 
 74835 56452.703502 u 16.241 0.011 
 74835 56452.756899 u 16.261 0.012 
 74835 56453.481520 u 15.741 0.015 
 74835 56453.571283 u 16.140 0.012 
 74835 56453.571960 u 16.142 0.012 
 74835 56453.578740 u 16.187 0.016 
 74835 56453.579412 u 16.177 0.015 
 74835 56453.681792 u 16.224 0.014 
 74835 56453.682464 u 16.285 0.014 
 74835 56467.466971 u 16.167 0.011 
 74835 56467.467647 u 16.134 0.011 
 74835 56724.862477 u 15.408 0.010 
 74835 56725.827970 u 15.683 0.010 
 74835 56725.828639 u 15.695 0.010 
 74835 56725.848211 u 15.837 0.010 
 74835 56725.878581 u 16.013 0.010 
 74835 56726.813869 u 16.066 0.011 
 74835 56726.814544 u 16.078 0.013 
 74835 56726.822954 u 16.109 0.011 
 74835 56726.823632 u 16.113 0.013 
 74835 56726.843316 u 16.199 0.010 
 74835 56726.843999 u 16.188 0.010 
 74835 56726.863423 u 16.271 0.010 
 74835 56726.864099 u 16.273 0.010 
 74835 56726.884562 u 16.319 0.011 
 74835 56726.903935 u 16.356 0.014 
 74835 56726.904600 u 16.367 0.013 
 74835 56451.721220 g 15.553 0.010 
 74835 56451.721773 g 15.578 0.010 
 74835 56452.499102 g 14.911 0.010 
 74835 56452.499554 g 14.935 0.010 
 74835 56452.612929 g 15.454 0.010 
 74835 56452.613357 g 15.440 0.010 
 74835 56452.701691 g 15.616 0.010 
 74835 56452.702231 g 15.587 0.010 
 74835 56452.755016 g 15.647 0.010 
 74835 56452.755566 g 15.645 0.011 
 74835 56453.467899 g 15.121 0.013 
 74835 56453.474437 g 15.059 0.011 
 74835 56453.479965 g 15.312 0.012 
 74835 56453.480388 g 15.225 0.013 
 74835 56453.570419 g 15.519 0.010 
 74835 56453.570859 g 15.523 0.010 
 74835 56453.577840 g 15.533 0.010 
 74835 56453.578284 g 15.530 0.010 
 74835 56453.681369 g 15.679 0.010 
 74835 56453.751591 g 15.296 0.013 
 74835 56453.752177 g 15.375 0.010 
 74835 56465.458279 g 14.722 0.011 
 74835 56465.465990 g 14.771 0.011 
 74835 56465.466423 g 14.769 0.011 
 74835 56467.466080 g 15.521 0.013 
 74835 56467.466518 g 15.509 0.011 
 74835 56724.817498 g 14.594 0.010 
 74835 56724.817962 g 14.602 0.010 
 74835 56724.840334 g 14.763 0.010 
 74835 56724.840768 g 14.774 0.011 
 74835 56724.860922 g 14.931 0.010 
 74835 56724.861365 g 14.925 0.010 
 74835 56724.883814 g 15.056 0.010 
 74835 56724.884254 g 15.057 0.010 
 74835 56725.827082 g 15.143 0.010 
 74835 56725.827515 g 15.149 0.010 
 74835 56725.847325 g 15.265 0.010 
 74835 56725.847757 g 15.257 0.011 
 74835 56725.877691 g 15.388 0.010 
 74835 56725.878141 g 15.392 0.010 
 74835 56726.812985 g 15.449 0.010 
 74835 56726.813433 g 15.454 0.010 
 74835 56726.822069 g 15.485 0.011 
 74835 56726.822504 g 15.487 0.010 
 74835 56726.842416 g 15.555 0.010 
 74835 56726.842855 g 15.565 0.010 
 74835 56726.862556 g 15.618 0.010 
 74835 56726.862992 g 15.620 0.010 
 74835 56726.882952 g 15.677 0.010 
 74835 56726.883409 g 15.653 0.011 
 74835 56726.903067 g 15.668 0.011 
 74835 56726.903508 g 15.688 0.011 
 74835 56451.717357 r 15.303 0.012 
 74835 56451.718102 r 15.321 0.011 
 74835 56451.718635 r 15.303 0.010 
 74835 56452.495761 r 14.872 0.010 
 74835 56452.496463 r 14.868 0.010 
 74835 56452.496898 r 14.886 0.010 
 74835 56452.502189 r 14.885 0.012 
 74835 56452.609624 r 15.234 0.010 
 74835 56452.610313 r 15.239 0.010 
 74835 56452.610753 r 15.218 0.011 
 74835 56452.697765 r 15.343 0.011 
 74835 56452.698514 r 15.352 0.010 
 74835 56452.699052 r 15.337 0.011 
 74835 56452.751003 r 15.356 0.012 
 74835 56452.751804 r 15.349 0.011 
 74835 56452.752352 r 15.347 0.010 
 74835 56453.465264 r 14.906 0.023 
 74835 56453.465704 r 15.015 0.011 
 74835 56453.476666 r 15.200 0.014 
 74835 56453.477356 r 15.056 0.016 
 74835 56453.567081 r 15.297 0.011 
 74835 56453.567781 r 15.284 0.010 
 74835 56453.568211 r 15.293 0.010 
 74835 56453.574528 r 15.282 0.011 
 74835 56453.575206 r 15.283 0.010 
 74835 56453.575657 r 15.278 0.010 
 74835 56453.677469 r 15.369 0.011 
 74835 56453.678173 r 15.389 0.010 
 74835 56453.678605 r 15.477 0.013 
 74835 56453.747565 r 15.224 0.011 
 74835 56453.748378 r 15.220 0.011 
 74835 56453.748937 r 15.219 0.012 
 74835 56465.454568 r 14.735 0.010 
 74835 56465.455249 r 14.725 0.010 
 74835 56465.455691 r 14.742 0.011 
 74835 56465.462665 r 14.762 0.010 
 74835 56465.463356 r 14.790 0.010 
 74835 56465.463783 r 14.757 0.011 
 74835 56467.462713 r 15.263 0.010 
 74835 56467.463393 r 15.245 0.011 
 74835 56467.463847 r 15.282 0.010 
 74835 56724.814885 r 14.655 0.010 
 74835 56724.815323 r 14.656 0.010 
 74835 56724.837694 r 14.771 0.010 
 74835 56724.838133 r 14.760 0.011 
 74835 56724.858302 r 14.876 0.010 
 74835 56724.858738 r 14.876 0.010 
 74835 56724.881196 r 14.966 0.010 
 74835 56724.881636 r 14.967 0.010 
 74835 56725.824447 r 15.026 0.010 
 74835 56725.824889 r 15.016 0.010 
 74835 56725.844726 r 15.096 0.010 
 74835 56725.845162 r 15.100 0.010 
 74835 56725.875055 r 15.193 0.010 
 74835 56725.875495 r 15.194 0.010 
 74835 56726.810271 r 15.227 0.010 
 74835 56726.810697 r 15.216 0.010 
 74835 56726.819387 r 15.258 0.011 
 74835 56726.819819 r 15.254 0.011 
 74835 56726.839819 r 15.291 0.010 
 74835 56726.840245 r 15.299 0.010 
 74835 56726.859958 r 15.342 0.010 
 74835 56726.860383 r 15.354 0.010 
 74835 56726.880322 r 15.380 0.010 
 74835 56726.880764 r 15.391 0.010 
 74835 56726.900425 r 15.402 0.010 
 74835 56726.900873 r 15.408 0.010 
 74835 56451.719126 i 15.265 0.010 
 74835 56451.719677 i 15.274 0.012 
 74835 56452.497345 i 14.933 0.012 
 74835 56452.497785 i 14.944 0.012 
 74835 56452.611183 i 15.202 0.012 
 74835 56452.611621 i 15.185 0.010 
 74835 56452.699593 i 15.317 0.011 
 74835 56452.700079 i 15.299 0.012 
 74835 56452.752902 i 15.326 0.011 
 74835 56452.753449 i 15.323 0.010 
 74835 56453.466139 i 15.014 0.012 
 74835 56453.466599 i 15.082 0.012 
 74835 56453.473140 i 15.158 0.024 
 74835 56453.568639 i 15.222 0.010 
 74835 56453.569078 i 15.270 0.010 
 74835 56453.576087 i 15.254 0.011 
 74835 56453.576522 i 15.243 0.010 
 74835 56453.679063 i 15.354 0.012 
 74835 56453.679504 i 15.363 0.010 
 74835 56453.749491 i 15.264 0.014 
 74835 56465.456542 i 14.835 0.011 
 74835 56465.464214 i 14.862 0.012 
 74835 56465.464655 i 14.860 0.011 
 74835 56467.464288 i 15.249 0.011 
 74835 56467.464715 i 15.238 0.011 
 74835 56724.816199 i 14.777 0.010 
 74835 56724.859179 i 14.926 0.010 
 74835 56724.859614 i 14.944 0.010 
 74835 56724.882066 i 15.002 0.010 
 74835 56724.882496 i 15.005 0.011 
 74835 56725.845598 i 15.096 0.010 
 74835 56725.846027 i 15.099 0.010 
 74835 56725.875926 i 15.183 0.010 
 74835 56725.876363 i 15.184 0.011 
 74835 56726.811144 i 15.191 0.010 
 74835 56726.811663 i 15.209 0.010 
 74835 56726.820248 i 15.237 0.011 
 74835 56726.820689 i 15.222 0.011 
 74835 56726.840680 i 15.258 0.010 
 74835 56726.860818 i 15.308 0.010 
 74835 56726.861259 i 15.302 0.010 
 74835 56726.881188 i 15.329 0.010 
 74835 56726.881629 i 15.339 0.010 
 74835 56726.901746 i 15.362 0.011 
 74835 56451.720223 z 15.255 0.011 
 74835 56451.720708 z 15.279 0.012 
 74835 56452.498233 z 14.911 0.012 
 74835 56452.498661 z 14.937 0.010 
 74835 56452.612057 z 15.158 0.010 
 74835 56452.612487 z 15.182 0.011 
 74835 56452.700608 z 15.287 0.011 
 74835 56452.701148 z 15.287 0.010 
 74835 56452.753959 z 15.324 0.011 
 74835 56452.754501 z 15.338 0.010 
 74835 56453.467450 z 15.000 0.016 
 74835 56453.479073 z 15.043 0.011 
 74835 56453.479532 z 14.941 0.012 
 74835 56453.569520 z 15.179 0.011 
 74835 56453.569950 z 15.218 0.010 
 74835 56453.576983 z 15.219 0.013 
 74835 56453.577412 z 15.253 0.016 
 74835 56453.680353 z 15.333 0.011 
 74835 56453.750520 z 15.291 0.016 
 74835 56453.751075 z 15.181 0.011 
 74835 56465.457415 z 14.825 0.011 
 74835 56465.465093 z 14.877 0.011 
 74835 56465.465539 z 14.867 0.012 
 74835 56467.465179 z 15.225 0.012 
 74835 56467.465622 z 15.211 0.011 
 74835 56724.816635 z 14.777 0.010 
 74835 56724.817063 z 14.754 0.010 
 74835 56724.839453 z 14.844 0.010 
 74835 56724.839896 z 14.844 0.011 
 74835 56724.860045 z 14.940 0.010 
 74835 56724.860476 z 14.923 0.010 
 74835 56724.882934 z 14.979 0.011 
 74835 56724.883370 z 14.978 0.010 
 74835 56725.826223 z 15.019 0.011 
 74835 56725.826647 z 15.022 0.010 
 74835 56725.846455 z 15.083 0.010 
 74835 56725.846892 z 15.080 0.011 
 74835 56725.876824 z 15.154 0.011 
 74835 56725.877247 z 15.156 0.011 
 74835 56726.812106 z 15.186 0.011 
 74835 56726.812548 z 15.174 0.011 
 74835 56726.821137 z 15.198 0.011 
 74835 56726.821562 z 15.197 0.011 
 74835 56726.841542 z 15.239 0.011 
 74835 56726.841984 z 15.243 0.011 
 74835 56726.861683 z 15.274 0.011 
 74835 56726.862115 z 15.263 0.011 
 74835 56726.882066 z 15.302 0.013 
 74835 56726.882514 z 15.297 0.010 
 74835 56726.902182 z 15.326 0.011 
 74835 56726.902619 z 15.328 0.011 
 74843 56451.723139 u 15.443 0.010 
 74843 56452.499995 u 15.597 0.011 
 74843 56452.500658 u 15.341 0.011 
 74843 56452.613786 u 15.650 0.011 
 74843 56452.614566 u 15.657 0.010 
 74843 56452.702727 u 15.944 0.011 
 74843 56452.703502 u 15.969 0.012 
 74843 56453.475292 u 15.741 0.019 
 74843 56453.571283 u 15.894 0.011 
 74843 56453.571960 u 15.889 0.012 
 74843 56453.578740 u 15.867 0.013 
 74843 56453.579412 u 15.861 0.015 
 74843 56467.466971 u 15.382 0.010 
 74843 56467.467647 u 15.374 0.010 
 74843 56724.818405 u 15.979 0.011 
 74843 56724.841881 u 15.947 0.010 
 74843 56724.884692 u 15.627 0.011 
 74843 56724.885357 u 15.609 0.011 
 74843 56725.827970 u 15.437 0.010 
 74843 56726.813869 u 15.932 0.012 
 74843 56726.814544 u 16.238 0.020 
 74843 56726.843999 u 15.800 0.019 
 74843 56726.903935 u 15.324 0.011 
 74843 56451.721220 g 14.914 0.010 
 74843 56451.721773 g 14.940 0.010 
 74843 56452.499102 g 14.832 0.010 
 74843 56452.499554 g 14.828 0.010 
 74843 56452.612929 g 15.104 0.010 
 74843 56452.613357 g 15.100 0.010 
 74843 56452.701691 g 15.413 0.010 
 74843 56452.702231 g 15.396 0.010 
 74843 56452.755016 g 15.166 0.010 
 74843 56452.755566 g 15.154 0.011 
 74843 56453.467899 g 15.143 0.013 
 74843 56453.474437 g 15.166 0.011 
 74843 56453.479965 g 15.408 0.012 
 74843 56453.480388 g 15.255 0.012 
 74843 56453.570419 g 15.340 0.010 
 74843 56453.570859 g 15.339 0.010 
 74843 56453.577840 g 15.326 0.010 
 74843 56453.578284 g 15.315 0.010 
 74843 56453.680803 g 14.766 0.013 
 74843 56453.681369 g 14.894 0.010 
 74843 56453.752177 g 15.183 0.010 
 74843 56465.458279 g 14.917 0.011 
 74843 56465.465990 g 14.864 0.011 
 74843 56465.466423 g 14.846 0.011 
 74843 56467.466080 g 14.877 0.010 
 74843 56467.466518 g 14.875 0.010 
 74843 56724.817498 g 15.435 0.010 
 74843 56724.817962 g 15.465 0.010 
 74843 56724.840334 g 15.406 0.010 
 74843 56724.840768 g 15.408 0.011 
 74843 56724.860922 g 15.415 0.011 
 74843 56724.861365 g 15.363 0.010 
 74843 56724.883814 g 15.120 0.010 
 74843 56724.884254 g 15.113 0.010 
 74843 56725.827082 g 14.934 0.010 
 74843 56725.827515 g 14.952 0.010 
 74843 56725.847325 g 15.042 0.010 
 74843 56725.847757 g 15.033 0.010 
 74843 56725.877691 g 15.172 0.010 
 74843 56725.878141 g 15.195 0.010 
 74843 56726.812985 g 15.391 0.010 
 74843 56726.813433 g 15.397 0.010 
 74843 56726.822069 g 15.364 0.011 
 74843 56726.822504 g 15.365 0.010 
 74843 56726.842416 g 15.254 0.010 
 74843 56726.842855 g 15.249 0.010 
 74843 56726.862556 g 14.964 0.010 
 74843 56726.862992 g 14.964 0.010 
 74843 56726.882952 g 14.841 0.010 
 74843 56726.883409 g 14.836 0.011 
 74843 56726.903067 g 14.795 0.011 
 74843 56726.903508 g 14.813 0.010 
 74843 56451.717357 r 14.951 0.013 
 74843 56451.718102 r 14.972 0.010 
 74843 56451.718635 r 14.967 0.010 
 74843 56452.495761 r 14.913 0.010 
 74843 56452.496463 r 14.919 0.010 
 74843 56452.496898 r 14.915 0.010 
 74843 56452.502189 r 14.910 0.012 
 74843 56452.609624 r 15.085 0.010 
 74843 56452.610313 r 15.098 0.010 
 74843 56452.610753 r 15.081 0.011 
 74843 56452.697765 r 15.295 0.012 
 74843 56452.698514 r 15.302 0.010 
 74843 56452.699052 r 15.295 0.011 
 74843 56452.751003 r 15.152 0.012 
 74843 56452.751804 r 15.142 0.011 
 74843 56452.752352 r 15.138 0.011 
 74843 56453.465704 r 15.249 0.011 
 74843 56453.476666 r 15.280 0.014 
 74843 56453.567081 r 15.287 0.011 
 74843 56453.567781 r 15.289 0.010 
 74843 56453.568211 r 15.288 0.010 
 74843 56453.574528 r 15.248 0.011 
 74843 56453.575206 r 15.263 0.010 
 74843 56453.575657 r 15.248 0.010 
 74843 56453.677469 r 14.933 0.011 
 74843 56453.678173 r 14.926 0.010 
 74843 56453.678605 r 15.052 0.012 
 74843 56453.747565 r 15.125 0.011 
 74843 56453.748378 r 15.135 0.011 
 74843 56453.748937 r 15.144 0.012 
 74843 56465.454568 r 14.940 0.010 
 74843 56465.455249 r 14.943 0.010 
 74843 56465.455691 r 14.920 0.011 
 74843 56465.462665 r 14.921 0.010 
 74843 56465.463356 r 14.939 0.010 
 74843 56465.463783 r 14.934 0.011 
 74843 56467.462713 r 14.942 0.010 
 74843 56467.463393 r 14.926 0.010 
 74843 56467.463847 r 14.942 0.010 
 74843 56724.814885 r 15.327 0.010 
 74843 56724.815323 r 15.336 0.010 
 74843 56724.837694 r 15.312 0.010 
 74843 56724.838133 r 15.304 0.011 
 74843 56724.858302 r 15.296 0.010 
 74843 56724.858738 r 15.282 0.010 
 74843 56724.881196 r 15.156 0.010 
 74843 56724.881636 r 15.143 0.010 
 74843 56725.824447 r 14.987 0.010 
 74843 56725.824889 r 14.980 0.011 
 74843 56725.844726 r 15.030 0.010 
 74843 56725.845162 r 15.035 0.010 
 74843 56725.875055 r 15.131 0.010 
 74843 56725.875495 r 15.134 0.011 
 74843 56726.810271 r 15.309 0.010 
 74843 56726.810697 r 15.286 0.010 
 74843 56726.819387 r 15.301 0.011 
 74843 56726.819819 r 15.289 0.011 
 74843 56726.839819 r 15.207 0.010 
 74843 56726.840245 r 15.210 0.010 
 74843 56726.859958 r 15.034 0.010 
 74843 56726.860383 r 15.026 0.010 
 74843 56726.880322 r 14.899 0.010 
 74843 56726.880764 r 14.905 0.010 
 74843 56726.900425 r 14.884 0.010 
 74843 56726.900873 r 14.893 0.010 
 74843 56451.719677 i 15.083 0.013 
 74843 56452.497345 i 15.043 0.011 
 74843 56452.497785 i 15.021 0.012 
 74843 56452.611183 i 15.178 0.013 
 74843 56452.611621 i 15.155 0.010 
 74843 56452.699593 i 15.320 0.012 
 74843 56452.700079 i 15.332 0.013 
 74843 56452.752902 i 15.204 0.012 
 74843 56452.753449 i 15.204 0.011 
 74843 56453.466139 i 15.185 0.012 
 74843 56453.466599 i 15.218 0.012 
 74843 56453.473140 i 15.388 0.028 
 74843 56453.478647 i 15.456 0.013 
 74843 56453.568639 i 15.315 0.010 
 74843 56453.569078 i 15.367 0.010 
 74843 56453.576087 i 15.304 0.011 
 74843 56453.576522 i 15.291 0.010 
 74843 56453.679063 i 15.052 0.012 
 74843 56453.679504 i 15.032 0.010 
 74843 56453.749491 i 15.277 0.013 
 74843 56465.456542 i 15.049 0.011 
 74843 56465.464655 i 15.040 0.011 
 74843 56467.464288 i 15.073 0.011 
 74843 56467.464715 i 15.060 0.010 
 74843 56724.815764 i 15.352 0.010 
 74843 56724.816199 i 15.345 0.010 
 74843 56724.838569 i 15.334 0.010 
 74843 56724.839012 i 15.334 0.010 
 74843 56724.859179 i 15.309 0.011 
 74843 56724.859614 i 15.328 0.010 
 74843 56724.882066 i 15.206 0.010 
 74843 56724.882496 i 15.198 0.011 
 74843 56725.846027 i 15.123 0.012 
 74843 56726.811144 i 15.325 0.010 
 74843 56726.811663 i 15.330 0.010 
 74843 56726.820248 i 15.318 0.011 
 74843 56451.720223 z 15.059 0.011 
 74843 56451.720708 z 15.094 0.012 
 74843 56452.498661 z 15.048 0.010 
 74843 56452.612057 z 15.171 0.012 
 74843 56452.612487 z 15.173 0.011 
 74843 56452.700608 z 15.333 0.011 
 74843 56452.701148 z 15.333 0.011 
 74843 56452.753959 z 15.220 0.011 
 74843 56452.754501 z 15.229 0.010 
 74843 56453.479073 z 15.288 0.014 
 74843 56453.479532 z 15.109 0.013 
 74843 56453.569520 z 15.301 0.010 
 74843 56453.569950 z 15.298 0.011 
 74843 56453.576983 z 15.297 0.015 
 74843 56453.577412 z 15.329 0.014 
 74843 56453.679926 z 15.124 0.016 
 74843 56453.680353 z 15.101 0.010 
 74843 56453.750520 z 15.290 0.016 
 74843 56453.751075 z 15.196 0.015 
 74843 56465.456974 z 15.179 0.012 
 74843 56465.457415 z 15.044 0.012 
 74843 56465.465093 z 15.063 0.011 
 74843 56465.465539 z 15.067 0.011 
 74843 56467.465179 z 15.065 0.011 
 74843 56467.465622 z 15.074 0.010 
 74843 56724.816635 z 15.360 0.010 
 74843 56724.817063 z 15.333 0.010 
 74843 56724.839453 z 15.343 0.010 
 74843 56724.839896 z 15.334 0.011 
 74843 56724.860045 z 15.333 0.010 
 74843 56724.860476 z 15.317 0.010 
 74843 56724.882934 z 15.216 0.010 
 74843 56724.883370 z 15.216 0.010 
 74843 56725.826223 z 15.082 0.012 
 74843 56725.826647 z 15.080 0.010 
 74843 56725.846455 z 15.119 0.010 
 74843 56725.846892 z 15.122 0.012 
 74843 56725.876824 z 15.202 0.011 
 74843 56725.877247 z 15.204 0.011 
 74843 56726.812106 z 15.325 0.011 
 74843 56726.812548 z 15.320 0.011 
 74843 56726.821137 z 15.324 0.011 
 74843 56726.821562 z 15.307 0.011 
 74843 56726.841542 z 15.265 0.011 
 74843 56726.841984 z 15.262 0.011 
 74843 56726.861683 z 15.115 0.011 
 74843 56726.862115 z 15.107 0.011 
 74843 56726.882066 z 15.044 0.013 
 74843 56726.882514 z 15.043 0.010 
 74843 56726.902182 z 15.042 0.012 
 74843 56726.902619 z 15.033 0.011 
 74857 56451.722332 u 16.250 0.011 
 74857 56451.723139 u 16.232 0.011 
 74857 56452.500658 u 15.876 0.012 
 74857 56452.613786 u 16.223 0.011 
 74857 56452.614566 u 16.232 0.011 
 74857 56452.702727 u 16.250 0.012 
 74857 56452.703502 u 16.242 0.011 
 74857 56452.756113 u 16.297 0.013 
 74857 56453.481520 u 15.969 0.015 
 74857 56453.571283 u 16.191 0.012 
 74857 56453.571960 u 16.203 0.012 
 74857 56453.578740 u 16.200 0.014 
 74857 56453.579412 u 16.181 0.014 
 74857 56453.681792 u 16.281 0.015 
 74857 56467.466971 u 15.410 0.010 
 74857 56467.467647 u 15.388 0.010 
 74857 56724.818405 u 16.231 0.011 
 74857 56724.862477 u 16.273 0.010 
 74857 56724.884692 u 16.262 0.013 
 74857 56724.885357 u 16.254 0.011 
 74857 56725.828639 u 16.228 0.012 
 74857 56726.903935 u 15.404 0.012 
 74857 56452.499554 g 15.275 0.010 
 74857 56452.612929 g 15.587 0.010 
 74857 56452.613357 g 15.554 0.010 
 74857 56452.701691 g 15.629 0.010 
 74857 56452.702231 g 15.606 0.010 
 74857 56452.755016 g 15.697 0.010 
 74857 56452.755566 g 15.720 0.011 
 74857 56453.467899 g 15.348 0.014 
 74857 56453.474437 g 15.299 0.012 
 74857 56453.479965 g 15.557 0.012 
 74857 56453.480388 g 15.431 0.012 
 74857 56453.570419 g 15.534 0.010 
 74857 56453.570859 g 15.558 0.010 
 74857 56453.577840 g 15.553 0.010 
 74857 56453.578284 g 15.559 0.010 
 74857 56453.681369 g 15.715 0.010 
 74857 56453.751591 g 14.292 0.011 
 74857 56453.752177 g 14.372 0.010 
 74857 56465.458279 g 15.670 0.013 
 74857 56465.465990 g 15.511 0.011 
 74857 56465.466423 g 15.496 0.011 
 74857 56467.466080 g 14.879 0.010 
 74857 56467.466518 g 14.886 0.010 
 74857 56724.817498 g 15.625 0.010 
 74857 56724.817962 g 15.613 0.010 
 74857 56724.840334 g 15.620 0.010 
 74857 56724.840768 g 15.634 0.011 
 74857 56724.860922 g 15.650 0.010 
