Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 20680 56724.860045 z 15.076 0.011 
 20680 56724.860476 z 15.069 0.010 
 20680 56724.882934 z 15.114 0.011 
 20680 56724.883370 z 15.137 0.010 
 20680 56725.826223 z 15.037 0.011 
 20680 56725.826647 z 15.033 0.012 
 20680 56725.846455 z 15.074 0.012 
 20680 56725.846892 z 15.071 0.011 
 20680 56725.876824 z 15.129 0.011 
 20680 56725.877247 z 15.122 0.011 
 20680 56726.812106 z 15.038 0.012 
 20680 56726.812548 z 15.020 0.012 
 20680 56726.821137 z 15.034 0.012 
 20680 56726.821562 z 15.054 0.012 
 20680 56726.841542 z 15.071 0.011 
 20680 56726.841984 z 15.069 0.012 
 20680 56726.861683 z 15.110 0.010 
 20680 56726.862115 z 15.113 0.011 
 20680 56726.882066 z 15.134 0.010 
 20680 56726.882514 z 15.148 0.010 
 20680 56726.902182 z 15.175 0.012 
 20680 56726.902619 z 15.167 0.012 
 29825 56451.722332 u 15.754 0.012 
 29825 56451.723139 u 15.710 0.013 
 29825 56452.500658 u 15.380 0.012 
 29825 56452.613786 u 15.718 0.011 
 29825 56452.614566 u 15.699 0.013 
 29825 56452.702727 u 15.921 0.012 
 29825 56452.703502 u 15.891 0.012 
 29825 56452.756113 u 15.967 0.012 
 29825 56452.756899 u 15.988 0.012 
 29825 56453.571283 u 16.059 0.014 
 29825 56453.571960 u 16.068 0.012 
 29825 56453.578740 u 16.063 0.012 
 29825 56453.579412 u 16.058 0.014 
 29825 56453.682464 u 15.969 0.014 
 29825 56467.466971 u 16.143 0.012 
 29825 56467.467647 u 16.155 0.013 
 29825 56724.841213 u 16.020 0.011 
 29825 56724.841881 u 16.038 0.013 
 29825 56724.885357 u 16.024 0.011 
 29825 56726.813869 u 16.031 0.011 
 29825 56726.822954 u 16.010 0.012 
 29825 56726.823632 u 16.014 0.013 
 29825 56726.843316 u 16.019 0.011 
 29825 56726.843999 u 16.034 0.010 
 29825 56726.864099 u 16.022 0.010 
 29825 56726.883851 u 16.050 0.010 
 29825 56726.903935 u 16.063 0.013 
 29825 56726.904600 u 16.061 0.013 
 29825 56451.721220 g 15.176 0.011 
 29825 56451.721773 g 15.151 0.012 
 29825 56452.499102 g 14.823 0.010 
 29825 56452.499554 g 14.831 0.012 
 29825 56452.612929 g 15.055 0.011 
 29825 56452.613357 g 15.077 0.012 
 29825 56452.701691 g 15.256 0.010 
 29825 56452.702231 g 15.216 0.011 
 29825 56452.755016 g 15.304 0.010 
 29825 56452.755566 g 15.316 0.010 
 29825 56453.467899 g 15.426 0.014 
 29825 56453.474437 g 15.461 0.017 
 29825 56453.479965 g 15.193 0.013 
 29825 56453.480388 g 15.386 0.012 
 29825 56453.570419 g 15.381 0.010 
 29825 56453.570859 g 15.379 0.010 
 29825 56453.577840 g 15.395 0.011 
 29825 56453.578284 g 15.391 0.011 
 29825 56453.751591 g 14.893 0.013 
 29825 56453.752177 g 14.884 0.010 
 29825 56465.458279 g 15.413 0.011 
 29825 56465.465990 g 15.408 0.012 
 29825 56465.466423 g 15.396 0.012 
 29825 56467.466080 g 15.460 0.011 
 29825 56467.466518 g 15.446 0.012 
 29825 56724.817498 g 15.353 0.011 
 29825 56724.817962 g 15.341 0.011 
 29825 56724.840334 g 15.353 0.012 
 29825 56724.840768 g 15.360 0.010 
 29825 56724.860922 g 15.388 0.010 
 29825 56724.861365 g 15.365 0.011 
 29825 56724.883814 g 15.365 0.010 
 29825 56724.884254 g 15.356 0.010 
 29825 56725.827082 g 14.803 0.010 
 29825 56725.827515 g 14.818 0.010 
 29825 56725.847325 g 14.864 0.011 
 29825 56725.847757 g 14.870 0.010 
 29825 56725.877691 g 14.940 0.011 
 29825 56725.878141 g 14.927 0.010 
 29825 56726.812985 g 15.356 0.012 
 29825 56726.822069 g 15.353 0.011 
 29825 56726.822504 g 15.349 0.010 
 29825 56726.842416 g 15.352 0.010 
 29825 56726.842855 g 15.343 0.010 
 29825 56726.862556 g 15.352 0.010 
 29825 56726.862992 g 15.344 0.010 
 29825 56726.882952 g 15.370 0.010 
 29825 56726.883409 g 15.375 0.011 
 29825 56726.903067 g 15.390 0.011 
 29825 56726.903508 g 15.380 0.011 
 29825 56451.717357 r 14.971 0.012 
 29825 56451.718102 r 14.947 0.012 
 29825 56451.718635 r 14.966 0.011 
 29825 56452.495761 r 14.690 0.011 
 29825 56452.496463 r 14.720 0.012 
 29825 56452.496898 r 14.695 0.013 
 29825 56452.502189 r 14.704 0.012 
 29825 56452.609624 r 14.836 0.012 
 29825 56452.610313 r 14.835 0.013 
 29825 56452.610753 r 14.842 0.013 
 29825 56452.697765 r 14.919 0.011 
 29825 56452.698514 r 14.922 0.011 
 29825 56452.699052 r 14.917 0.011 
 29825 56452.751003 r 14.972 0.012 
 29825 56452.751804 r 14.968 0.012 
 29825 56452.752352 r 14.966 0.011 
 29825 56453.465704 r 15.200 0.012 
 29825 56453.476666 r 14.906 0.012 
 29825 56453.567081 r 15.065 0.010 
 29825 56453.567781 r 15.091 0.010 
 29825 56453.568211 r 15.062 0.011 
 29825 56453.574528 r 15.062 0.011 
 29825 56453.575206 r 15.065 0.010 
 29825 56453.575657 r 15.073 0.011 
 29825 56453.677469 r 15.110 0.012 
 29825 56453.678173 r 15.098 0.013 
 29825 56453.678605 r 14.988 0.013 
 29825 56453.747565 r 14.771 0.010 
